english,rohingya,word_type,category
Friday—,Cúkkurbar,day,day
Monda,Cómbar,day,day
Saturday,Cónibar,day,day
Sunday,Rooibar,day,day
Thursday,Bicíbbar,day,day
Tuesday,Mongolbar,day,day
Wednesday,Buidbar,day,day
Acute,pain bordac nu aiyé fán sissiar,v.,english-rohingya_medical_dictionary
Diarrhea,lamani biaram,n.,english-rohingya_medical_dictionary
Diarrhea,gaa bicí lamarde biaram,n.,english-rohingya_medical_dictionary
Diarrhea,bicí faní baáre zarde biaram,v.,english-rohingya_medical_dictionary
Diarrhoea,lamani biaram,n.,english-rohingya_medical_dictionary
Diarrhoea,gaa bicí lamarde biaram,n.,english-rohingya_medical_dictionary
Diarrhoea,bicí faní baáre zarde biaram,v.,english-rohingya_medical_dictionary
Ear,pain han thon thonar,v.,english-rohingya_medical_dictionary
Edema,fúla biaram,n.,english-rohingya_medical_dictionary
Eye,pain suk thon thonar,v.,english-rohingya_medical_dictionary
Fever,gaat zor,n.,english-rohingya_medical_dictionary
Fever,gaa gorom óiye,v.,english-rohingya_medical_dictionary
Fever,gaat zor uiththé,v.,english-rohingya_medical_dictionary
Frequent,urination fecák bicí gorá,v.,english-rohingya_medical_dictionary
Frequent,motion baáre bicí zaa,v.,english-rohingya_medical_dictionary
Hair,falling matár sul zórer,v.,english-rohingya_medical_dictionary
Headache,matá hoñrani,n.,english-rohingya_medical_dictionary
Headache,matá hoñrar,v.,english-rohingya_medical_dictionary
Headache,matá thon thonar,v.,english-rohingya_medical_dictionary
Headache,matá gúrar,v.,english-rohingya_medical_dictionary
High,blood<>pressure gaat dom bicí óiye,v.,english-rohingya_medical_dictionary
High,gaar precar bicí asé,v.,english-rohingya_medical_dictionary
Knee,pain añçú bic,n.,english-rohingya_medical_dictionary
Knee,añçú sissia,v.,english-rohingya_medical_dictionary
Less,energy bol fore,v.,english-rohingya_medical_dictionary
Less,bol hom,v.,english-rohingya_medical_dictionary
Low,blood<>pressure gaat dom hom óiye,v.,english-rohingya_medical_dictionary
Low,gaar precar hom,v.,english-rohingya_medical_dictionary
Neck,pain goddana hoñrar,v.,english-rohingya_medical_dictionary
Neck,gondana sissiar,v.,english-rohingya_medical_dictionary
Stomach,pain feth sissiar,v.,english-rohingya_medical_dictionary
Stomach,ace feth hoñça,v.,english-rohingya_medical_dictionary
Throat,pain gola bic,v.,english-rohingya_medical_dictionary
Toothache,dat hoñrani,n.,english-rohingya_medical_dictionary
Toothache,dat hoñrar,v.,english-rohingya_medical_dictionary
Urine,infection fecák thon thonar,v.,english-rohingya_medical_dictionary
AIDS,Éids biaram,n.,general
AIDS,gaa mozbut rakéde jiníc fúrai zagóide biaram,n.,general
Adam,Adom,n.,general
Adam,duniyair foóila manúic,n.,general
Allah,Allah,n.,general
Allah,God,n.,general
Allah,tamám jáhan óre faloya,n.,general
Allah,tamám jáhan or maalek,n.,general
America,Amerika,n.,general
America,Amerikar dec,n.,general
American,Amerikar manúic,n.,general
American,Amerikar,n.,general
April,Ipril,n.,general
April,Ipril mác,n.,general
Arab,Arob or manúic,n.,general
Arabic,Arobi,adj.,general
Arabic language,Arobi zuban,n.,general
Asia,Asía,n.,general
Aspirin,medicine for headache,n.,general
August,Ogós mác,n.,general
Australia,Australía dec,n.,general
Australian,Australíar,n.,general
Australian,Australíar manúic,n.,general
BP,louwór precar,n.,general
BP,louwór uzón,n.,general
Baghdad,Bogdad cóor,n.,general
Belgiem,Beljiem,n.,general
Britain,Brithíc,n.,general
British,Bitíc,n.,general
Buddhist,Buddá ré fuñzoiya,n.,general
CCTV,CCTV telivicén,n.,general
